Target: SAT

Pass Number     Observer     Time (UTCGregorian)          Azimuth (deg)     Elevation (deg)     Range (km)      
-----------     --------     ------------------------     -------------     ---------------     -----------     
1               GSC2         16 Jul 2025 01:12:47.430     285.936315        5.000000            2218.792826     
1               GSC2         16 Jul 2025 01:12:52.430     286.301841        5.339240            2188.952744     
1               GSC2         16 Jul 2025 01:12:57.430     286.677798        5.683223            2159.207629     
1               GSC2         16 Jul 2025 01:13:02.430     287.064628        6.032092            2129.562333     
1               GSC2         16 Jul 2025 01:13:07.430     287.462805        6.386000            2100.021368     
1               GSC2         16 Jul 2025 01:13:12.430     287.872820        6.745100            2070.590073     
1               GSC2         16 Jul 2025 01:13:17.430     288.295185        7.109542            2041.274295     
1               GSC2         16 Jul 2025 01:13:22.430     288.730444        7.479483            2012.079941     
1               GSC2         16 Jul 2025 01:13:27.430     289.179182        7.855089            1983.012653     
1               GSC2         16 Jul 2025 01:13:32.430     289.642003        8.236521            1954.078965     
1               GSC2         16 Jul 2025 01:13:37.430     290.119541        8.623940            1925.285984     
1               GSC2         16 Jul 2025 01:13:42.430     290.612470        9.017508            1896.640962     
1               GSC2         16 Jul 2025 01:13:47.430     291.121511        9.417396            1868.150974     
1               GSC2         16 Jul 2025 01:13:52.430     291.647413        9.823767            1839.824075     
1               GSC2         16 Jul 2025 01:13:57.430     292.190964        10.236777           1811.668976     
1               GSC2         16 Jul 2025 01:14:02.430     292.752996        10.656585           1783.694632     
1               GSC2         16 Jul 2025 01:14:07.430     293.334404        11.083350           1755.909950     
1               GSC2         16 Jul 2025 01:14:12.430     293.936115        11.517218           1728.324908     
1               GSC2         16 Jul 2025 01:14:17.430     294.559106        11.958324           1700.950251     
1               GSC2         16 Jul 2025 01:14:22.430     295.204408        12.406792           1673.797100     
1               GSC2         16 Jul 2025 01:14:27.430     295.873123        12.862744           1646.876669     
1               GSC2         16 Jul 2025 01:14:32.430     296.566401        13.326276           1620.201365     
1               GSC2         16 Jul 2025 01:14:37.430     297.285440        13.797461           1593.784497     
1               GSC2         16 Jul 2025 01:14:42.430     298.031512        14.276348           1567.639898     
1               GSC2         16 Jul 2025 01:14:47.430     298.805964        14.762967           1541.781663     
1               GSC2         16 Jul 2025 01:14:52.430     299.610198        15.257308           1516.225225     
1               GSC2         16 Jul 2025 01:14:57.430     300.445673        15.759315           1490.987059     
1               GSC2         16 Jul 2025 01:15:02.430     301.313922        16.268887           1466.084329     
